1.JPG [0.5337496139109135, 0.46625038608908653]
2.JPG [0.7816702499985695, 0.2183297500014305]
3.JPG [0.5404244363307953, 0.4595755636692047]
4.JPG [0.2192131020128727, 0.7807868979871273]
5.jpg [0.7754404470324516, 0.22455955296754837]
6.jpg [0.7300925850868225, 0.2699074149131775]
7.jpg [0.5549120269715786, 0.4450879730284214]
8.jpg [0.783173531293869, 0.21682646870613098]
9.jpg [0.6952813640236855, 0.30471863597631454]
10.jpg [0.4039946123957634, 0.5960053876042366]
