1.jpg [0.8273654654622078, 0.1726345345377922]
2.jpg [0.9013658091425896, 0.09863419085741043]
3.jpg [0.7405481338500977, 0.25945186614990234]
4.jpg [0.2440940300002694, 0.7559059699997306]
5.jpg [0.1921158479526639, 0.8078841520473361]
6.jpg [0.9155577719211578, 0.08444222807884216]
7.jpg [0.7619827762246132, 0.2380172237753868]
8.jpg [0.33421117067337036, 0.6657888293266296]
9.jpg [0.5003147311508656, 0.49968526884913445]
10.jpg [0.3995867110788822, 0.6004132889211178]
